route,direction,scheduled,actual,minutes_late
C,northbound,2016-03-30 21:15:25,2016-03-30 21:18:36,3.183333333333333
C,northbound,2016-03-30 18:57:28,2016-03-30 18:57:23,-0.08333333333333333
C,northbound,2016-03-30 16:40:33,2016-03-30 16:48:16,7.716666666666667
C,northbound,2016-03-30 07:51:31,2016-03-30 07:57:44,6.216666666666667
C,northbound,2016-03-30 08:02:31,2016-03-30 08:09:43,7.2
C,northbound,2016-03-30 21:30:25,2016-03-30 21:31:33,1.1333333333333333
C,northbound,2016-03-30 19:17:28,2016-03-30 19:28:28,11.0
C,northbound,2016-03-30 17:01:33,2016-03-30 17:07:01,5.466666666666667
C,northbound,2016-03-30 13:45:31,2016-03-30 13:42:11,-3.3333333333333335
C,northbound,2016-03-30 11:21:28,2016-03-30 11:18:12,-3.2666666666666666
C,northbound,2016-03-30 16:05:33,2016-03-30 16:06:10,0.6166666666666667
C,northbound,2016-03-29 14:09:31,2016-03-29 14:11:05,1.5666666666666667
C,northbound,2016-03-29 11:57:28,2016-03-29 11:53:08,-4.333333333333333
C,northbound,2016-03-29 09:35:28,2016-03-29 09:39:31,4.05
C,northbound,2016-03-29 07:18:31,2016-03-29 07:23:06,4.583333333333333
C,northbound,2016-03-29 23:30:25,2016-03-29 23:34:16,3.85
C,northbound,2016-03-29 21:15:25,2016-03-29 21:17:23,1.9666666666666666
C,northbound,2016-03-29 18:57:28,2016-03-29 18:55:02,-2.433333333333333
C,northbound,2016-03-29 16:40:33,2016-03-29 16:43:43,3.1666666666666665
C,northbound,2016-03-29 11:09:28,2016-03-29 11:08:49,-0.65
C,northbound,2016-03-29 08:51:31,2016-03-29 08:54:26,2.9166666666666665
C,northbound,2016-03-29 21:30:25,2016-03-29 21:30:11,-0.23333333333333334
C,northbound,2016-03-29 17:01:33,2016-03-29 16:58:54,-2.65
C,northbound,2016-03-29 08:38:31,2016-03-29 08:39:28,0.95
C,northbound,2016-03-29 06:20:25,2016-03-29 06:21:31,1.1
